age,income,education,hours_per_week,label
31,93586.2,phd,18,1
63,23704.66,associate,15,1
52,36176.08,phd,57,0
28,116546.95,masters,60,0
57,74010.05,phd,29,1
31,67628.59,phd,15,0
51,80170.22,associate,16,0
57,39884.68,associate,40,1
61,45852.65,masters,38,0
65,67082.35,associate,19,0
47,112303.5,high_school,52,1
67,35452.14,high_school,42,0
64,83648.23,associate,31,0
20,103150.44,phd,11,0
48,58623.39,masters,40,1
27,106568.1,associate,31,1
54,79621.71,bachelors,16,0
62,103178.18,bachelors,34,0
64,77555.96,associate,23,1
26,74889.52,masters,41,1
23,20009.06,high_school,26,0
26,32267.91,phd,38,1
46,18152.01,masters,49,0
69,94780.06,bachelors,28,1
68,52081.55,masters,15,0
68,24943.54,high_school,59,1
39,51162.4,high_school,26,0
18,20794.24,phd,24,0
48,60214.83,bachelors,42,0
54,17479.66,bachelors,33,1
52,114604.25,associate,22,1
27,88845.8,phd,51,0
66,59808.84,masters,20,0
70,101354.97,associate,20,1
58,26296.59,phd,46,1
25,18755.33,high_school,59,1
24,47449.69,associate,39,1
24,35322.98,phd,44,1
68,84753.59,masters,45,0
59,94032.39,masters,42,0
68,66922.87,phd,25,0
66,113034.44,masters,46,0
68,114740.85,bachelors,26,0
21,61819.89,associate,24,0
23,119036.89,masters,19,1
67,73127.82,phd,18,1
57,35695.94,associate,55,0
30,16867.56,masters,43,1
53,77022.34,bachelors,33,0
44,65625.47,phd,44,1
65,89712.92,masters,24,1
60,115558.86,bachelors,34,0
60,38475.08,bachelors,59,1
69,31172.46,associate,15,1
31,44089.27,associate,48,1
64,18130.65,phd,56,0
59,18828.6,phd,34,0
55,19951.47,high_school,13,0
21,63223.95,bachelors,25,0
60,95800.37,associate,28,0
35,118623.21,masters,19,0
62,18994.36,phd,43,0
40,99276.72,phd,60,1
59,114627.82,masters,58,0
67,16794.49,masters,57,1
25,60646.41,bachelors,33,1
49,111640.35,associate,36,1
26,45919.99,phd,20,1
30,63620.81,bachelors,30,1
45,64086.79,phd,38,1
19,97920.46,high_school,58,0
35,85087.39,bachelors,18,0
40,90933.64,high_school,29,0
24,115597.82,phd,11,0
40,40657.44,masters,40,0
23,117337.01,masters,40,1
57,92438.03,phd,13,0
43,54753.78,bachelors,10,0
37,48217.65,phd,37,1
39,66997.12,masters,15,1
41,96642.88,phd,41,1
57,93197.44,phd,46,0
50,32663.11,phd,36,0
21,27967.95,bachelors,54,1
34,43833.35,phd,35,1
65,34366.39,high_school,44,1
68,99215.62,bachelors,20,0
20,105866.83,bachelors,47,1
45,103516.06,masters,18,1
53,103197.34,associate,40,0
44,42884.26,phd,53,1
46,112649.14,masters,20,1
30,97119.44,bachelors,60,1
27,62638.9,phd,34,0
52,88822.39,phd,56,0
27,109177.21,masters,59,0
42,61652.35,phd,36,1
62,85794.26,masters,56,0
56,37228.29,phd,10,1
62,110332.94,high_school,40,1
54,25348.26,bachelors,17,0
52,70433.14,phd,58,1
33,29375.94,phd,28,0
32,22332.11,associate,19,1
39,49582.75,high_school,30,1
32,38404.94,bachelors,47,1
62,98149.1,bachelors,11,1
36,38752.57,high_school,24,0
28,19359.92,high_school,60,0
29,40745.75,high_school,52,0
30,93304.49,high_school,55,1
69,66530.26,masters,39,0
35,101619.04,masters,23,1
24,54684.31,high_school,27,0
43,88483.99,associate,11,1
20,56197.42,associate,51,0
57,83905.42,masters,18,0
23,36475.96,associate,22,0
28,28580.74,high_school,15,0
57,55795.55,masters,14,1
39,23968.54,masters,24,0
41,107703.41,high_school,46,0
47,109904.81,associate,27,1
20,36796.47,high_school,50,1
42,49044.56,phd,26,0
68,45028.01,phd,49,0
18,91926.05,masters,32,1
44,65572.5,phd,27,0
43,81584.92,associate,37,0
19,79756.05,phd,37,0
54,60019.78,high_school,47,1
70,105115.85,associate,26,0
39,100830.5,associate,16,1
29,69556.19,masters,51,0
25,91481.33,masters,54,0
64,40127.81,associate,46,0
60,39960.13,masters,18,1
26,119849.46,high_school,41,1
32,26189.73,masters,17,0
36,22061.93,associate,30,0
60,46833.63,phd,13,1
26,85609.97,high_school,38,1
69,108060.82,masters,32,1
63,89880.17,associate,58,0
51,100891.8,associate,20,1
69,66245.4,associate,57,1
33,118580.87,masters,43,0
31,34677.94,bachelors,39,0
40,74428.48,phd,33,0
67,41328.18,bachelors,49,1
60,42393.43,masters,49,0
58,63844.97,associate,10,1
28,87642.07,bachelors,13,0
19,91013.79,high_school,25,1
44,65919.1,masters,19,0
52,100969.67,phd,22,1
25,99612.83,masters,20,1
23,101976.61,associate,29,0
58,27466.03,masters,60,0
24,42015.61,masters,58,1
69,42463.63,associate,12,1
61,116544.59,associate,21,0
34,86845.01,bachelors,53,1
59,77511.01,associate,55,0
57,48653.66,masters,30,1
50,19777.14,bachelors,40,1
67,41197.38,high_school,49,0
40,33298.02,associate,45,1
30,114554.96,bachelors,58,0
42,19452.86,high_school,51,1
24,92166.88,bachelors,51,1
55,72593.45,high_school,21,0
53,101142.32,associate,14,0
22,50635.03,high_school,41,1
51,114929.24,bachelors,19,1
31,53278.0,bachelors,56,0
59,108211.52,associate,10,0
67,21707.62,bachelors,60,1
36,19118.93,phd,40,0
28,20188.76,phd,55,0
57,104160.67,high_school,47,1
26,49485.34,bachelors,27,0
40,97365.41,associate,53,1
47,48278.15,high_school,49,0
19,64475.26,high_school,33,1
36,82750.24,phd,35,1
36,46774.61,masters,43,0
40,55496.46,high_school,10,1
39,33790.45,associate,28,0
32,55901.31,bachelors,52,1
65,97774.81,associate,47,1
45,109154.53,bachelors,18,1
44,104197.87,high_school,36,0
69,64657.63,masters,54,0
37,98528.6,phd,43,0
39,101201.25,associate,51,1
48,52176.47,masters,59,0
21,119686.34,masters,19,0
51,45789.62,associate,12,0
25,80838.19,high_school,30,0
55,99451.59,bachelors,55,1
63,74638.9,masters,49,0
53,87902.85,masters,28,0
51,65057.34,bachelors,18,1
32,97212.74,masters,24,1
48,47636.64,phd,59,1
28,86185.48,associate,39,1
37,113527.77,bachelors,26,0
59,86502.83,masters,36,1
29,25011.98,bachelors,57,0
44,18412.57,phd,44,0
37,95429.69,bachelors,23,1
60,96254.28,associate,37,0
57,108431.78,associate,31,1
54,58481.02,associate,43,1
45,19645.95,associate,36,1
38,53742.55,associate,11,0
45,119374.11,phd,46,1
29,43728.96,high_school,18,0
64,64508.01,associate,17,1
68,91036.23,masters,49,1
32,85491.49,phd,38,0
67,51546.47,masters,44,1
21,55936.86,high_school,58,0
41,34411.21,masters,53,0
57,69810.8,masters,41,0
55,66424.74,bachelors,60,0
40,117937.49,associate,45,0
38,53330.06,masters,51,1
46,95418.34,masters,34,0
33,88658.54,bachelors,23,0
45,39964.49,phd,12,0
63,109548.34,bachelors,42,0
52,23315.81,phd,55,0
42,71212.67,high_school,20,1
48,78443.47,masters,12,1
67,31433.62,bachelors,56,0
43,37871.05,high_school,20,1
61,105005.85,high_school,60,1
35,108117.09,high_school,53,1
39,73990.86,bachelors,45,1
51,79197.4,phd,19,1
34,44092.12,associate,11,1
62,74718.87,bachelors,17,0
49,41334.94,associate,17,0
38,112788.44,bachelors,35,0
21,100583.75,associate,44,0
18,63584.87,masters,20,0
41,40563.1,high_school,21,0
38,98498.16,associate,17,1
64,118736.76,associate,24,0
43,115866.98,phd,27,1
62,115475.63,high_school,13,0
41,87149.26,masters,21,1
66,44722.08,bachelors,37,1
43,25976.78,high_school,50,1
30,78725.53,bachelors,33,0
49,17746.66,high_school,11,0
47,75143.45,high_school,17,1
51,49939.34,bachelors,12,0
35,48637.29,high_school,10,0
47,117805.23,bachelors,11,1
31,25433.49,associate,51,0
36,66668.94,phd,30,0
68,111100.08,bachelors,34,0
66,34343.55,bachelors,56,1
44,25219.02,masters,14,1
26,72693.37,phd,14,0
64,20824.49,associate,10,0
52,92786.34,masters,42,1
50,33437.89,phd,30,1
33,34193.51,high_school,23,1
24,95644.74,bachelors,14,0
19,26416.13,high_school,17,0
41,73157.04,high_school,12,0
48,107870.01,associate,33,0
43,94999.93,high_school,25,1
58,110040.12,associate,13,0
53,93702.92,bachelors,52,1
47,76567.46,associate,48,1
69,93113.29,phd,26,0
34,106969.25,high_school,26,0
55,42697.77,associate,14,1
67,112066.14,high_school,35,0
44,97876.24,high_school,49,1
54,65003.92,high_school,49,0
18,103112.42,high_school,10,1
52,27564.53,bachelors,29,0
36,49070.76,bachelors,11,1
61,38355.67,high_school,53,1
70,97003.37,associate,14,1
18,90042.16,phd,53,1
33,31010.0,masters,42,1
40,87542.59,high_school,38,0
27,84239.85,masters,40,1
44,82802.87,associate,39,0
59,44273.79,high_school,35,1
39,65180.25,phd,58,1
47,115978.99,associate,30,0
69,38670.84,bachelors,50,0
70,19014.66,phd,55,1
57,96812.84,bachelors,11,0
26,55552.54,associate,14,1
58,59314.12,high_school,23,1
23,86178.44,high_school,21,0
38,118083.98,masters,14,1
35,48026.9,high_school,24,0
29,48433.61,associate,17,1
36,58345.41,phd,11,1
28,115704.8,phd,29,0
22,116611.73,phd,37,0
60,37787.25,phd,58,0
64,78491.71,associate,42,0
49,96701.45,associate,45,0
56,57948.45,masters,13,1
22,91085.93,associate,54,0
57,74956.04,phd,14,0
52,92028.97,associate,36,0
38,24461.85,masters,16,1
69,28110.38,high_school,15,0
44,111138.38,high_school,53,0
70,73011.79,bachelors,49,0
25,112661.2,bachelors,60,0
54,51022.58,high_school,43,1
46,19697.83,high_school,16,0
50,115919.58,high_school,53,1
69,52047.28,high_school,21,0
37,31764.9,phd,48,0
59,116034.66,bachelors,60,0
68,45280.23,high_school,13,1
61,50534.61,associate,52,1
30,64094.48,phd,50,1
48,85513.8,high_school,33,0
48,70594.56,high_school,54,0
61,81890.66,phd,51,1
61,19038.26,high_school,25,1
49,78028.28,masters,12,1
24,20826.82,associate,13,0
49,60868.13,phd,40,0
60,41117.87,associate,36,1
66,97386.08,bachelors,38,1
56,113946.57,high_school,20,0
22,94343.7,bachelors,23,1
43,106221.13,phd,15,0
56,56587.84,phd,56,0
24,91383.33,associate,16,1
23,74061.63,high_school,32,1
55,84658.06,phd,16,1
64,73865.74,masters,22,0
52,51270.37,bachelors,40,0
40,79876.31,associate,24,1
46,54137.55,associate,49,1
20,32069.71,high_school,56,0
43,40153.62,phd,57,1
25,27622.69,bachelors,45,0
24,76939.31,masters,29,0
67,47257.45,high_school,14,1
46,46012.03,bachelors,53,0
64,80697.23,high_school,18,0
48,34045.96,bachelors,50,1
67,101394.99,associate,12,0
40,114500.2,associate,42,1
56,57945.45,high_school,57,1
25,102667.57,associate,23,1
64,116792.39,masters,19,0
44,71266.99,phd,34,1
58,95366.44,associate,39,1
36,106324.29,associate,59,0
45,106444.22,phd,52,1
21,58440.28,bachelors,34,0
63,34629.75,masters,40,0
55,64272.92,associate,58,1
25,46091.24,high_school,19,0
31,72288.77,masters,40,1
40,49172.83,bachelors,49,0
57,102932.69,bachelors,32,0
52,71437.73,bachelors,58,1
56,45827.54,masters,38,1
69,57953.0,high_school,51,1
60,66664.55,associate,30,0
36,108831.74,high_school,17,1
21,36573.61,high_school,24,0
19,107113.43,masters,37,0
56,61758.61,high_school,29,1
44,86161.24,associate,54,0
47,87628.55,masters,25,1
54,55722.85,associate,46,1
53,83784.91,masters,44,1
49,21907.92,masters,58,0
20,28250.02,high_school,18,0
45,65555.16,associate,42,1
31,18730.47,bachelors,46,0
52,82448.78,phd,16,0
34,108230.32,phd,26,0
56,116317.25,phd,60,0
54,118383.75,bachelors,10,0
41,111797.5,associate,43,1
30,49069.61,bachelors,32,1
44,28760.28,masters,47,0
63,68432.09,bachelors,19,1
61,102031.36,bachelors,53,1
65,47754.29,masters,49,1
23,82488.41,phd,22,1
31,66880.51,associate,38,0
53,63656.59,high_school,56,1
61,28420.3,high_school,20,1
56,97391.21,high_school,26,1
70,46523.0,high_school,50,1
55,108837.54,associate,36,0
44,65640.01,phd,23,0
65,45317.43,bachelors,29,1
50,92209.94,associate,58,0
55,50033.79,phd,24,0
63,24668.46,high_school,21,1
51,20287.49,masters,17,0
42,56720.01,associate,39,0
33,68234.98,masters,39,1
22,17581.56,phd,58,0
20,94300.04,associate,21,0
39,41539.64,bachelors,12,0
38,78527.27,bachelors,36,0
36,20857.3,phd,44,1
62,67863.65,phd,15,1
27,115568.61,associate,21,1
62,45234.18,associate,57,1
56,35803.05,phd,45,0
41,72943.72,bachelors,14,1
35,25762.24,high_school,30,1
44,64696.39,high_school,27,0
25,37826.61,phd,49,0
28,40414.38,masters,24,1
58,56348.4,phd,25,1
20,51272.05,masters,45,0
42,85546.12,phd,59,0
46,50029.86,phd,47,1
56,101165.44,masters,51,1
55,83623.45,high_school,23,1
46,41537.66,phd,60,0
27,67663.78,masters,53,1
38,66349.4,phd,42,1
65,87115.47,associate,54,0
18,31954.2,high_school,50,1
36,51361.03,high_school,27,0
51,27622.04,bachelors,52,1
57,90500.59,phd,43,0
24,91719.81,bachelors,39,0
33,78184.5,phd,13,0
57,19107.86,masters,58,0
20,41865.49,associate,46,1
64,45776.27,high_school,14,0
35,41259.49,associate,35,0
37,81759.26,bachelors,23,1
35,112931.14,masters,11,1
29,47455.82,phd,39,1
68,30144.94,masters,54,1
24,102577.42,associate,28,1
20,39852.97,phd,38,0
65,110626.79,high_school,42,1
30,33651.0,high_school,58,0
24,60760.32,bachelors,51,0
19,60864.35,bachelors,54,1
48,19604.03,phd,15,1
44,79924.47,phd,30,0
61,99358.28,masters,47,1
64,36180.63,associate,27,1
65,55344.55,masters,27,1
45,97038.59,masters,41,1
30,87203.38,masters,51,1
20,107334.62,masters,33,0
48,50471.22,bachelors,30,1
20,52507.49,associate,15,0
69,26928.55,masters,36,1
36,113522.61,associate,59,0
25,44042.33,phd,38,1
64,17454.84,bachelors,35,0
29,86603.3,associate,28,1
66,29763.85,masters,20,1
32,46961.67,associate,32,1
32,44845.95,high_school,46,1
37,111001.21,associate,27,1
24,28250.05,bachelors,57,0
34,49033.48,masters,25,1
29,15273.1,high_school,53,1
42,100386.7,phd,28,0
51,85653.08,high_school,45,1
61,93776.19,high_school,30,0
61,75268.8,associate,25,0
37,74149.41,high_school,34,1
65,72464.28,bachelors,18,1
19,73429.28,phd,52,0
18,27545.97,bachelors,16,0
31,26107.35,phd,23,0
20,102325.02,bachelors,38,0
20,109852.63,associate,15,0
45,33348.62,high_school,56,1
41,83680.6,bachelors,39,0
31,107843.05,masters,57,0
65,20098.49,phd,44,1
70,61772.2,high_school,22,0
65,68500.7,high_school,10,0
59,75422.37,high_school,35,0
67,52858.35,phd,37,1
26,75133.43,phd,20,1
64,112170.89,phd,54,0
51,90260.31,high_school,53,1
69,64958.98,associate,41,0
60,40467.39,phd,15,0
53,23797.54,bachelors,59,0
19,56478.08,associate,58,1
63,95479.31,masters,20,1
34,55674.86,bachelors,31,1
55,117618.73,bachelors,40,0
26,72339.44,bachelors,43,0
27,35953.17,associate,21,0
34,17866.18,masters,42,1
66,119855.5,masters,55,1
49,81575.78,associate,51,1
26,109939.5,bachelors,16,0
29,75885.43,phd,58,1
43,116315.86,associate,13,1
20,86552.99,phd,38,0
58,55740.9,associate,42,1
31,72100.09,masters,16,0
23,34138.51,high_school,56,0
35,67865.39,masters,59,1
47,96632.55,high_school,47,1
44,49061.29,masters,28,0
56,31837.89,associate,47,0
70,85863.27,bachelors,21,1
30,17946.55,bachelors,38,0
55,68944.07,associate,48,0
20,23924.13,masters,49,1
37,58144.54,associate,35,0
25,75489.06,bachelors,13,1
20,72277.62,high_school,25,0
26,31901.93,high_school,13,0
49,99430.36,bachelors,56,1
18,48926.17,associate,20,0
68,66936.75,bachelors,28,0
27,96583.91,bachelors,50,0
67,106213.29,masters,13,0
35,26174.56,associate,36,1
46,62585.85,bachelors,16,1
51,62156.19,phd,31,0
68,80087.36,masters,22,0
58,88178.61,phd,12,0
49,116476.7,associate,48,0
48,94985.93,associate,18,0
47,20546.39,phd,27,0
45,60841.03,phd,27,1
69,24131.74,masters,52,0
21,25475.44,bachelors,30,1
42,115552.94,associate,14,1
62,115772.23,high_school,40,0
57,75879.39,bachelors,42,1
53,93710.03,phd,12,1
27,19053.58,bachelors,20,0
22,17377.98,phd,48,0
51,112611.34,masters,22,1
55,68610.6,associate,22,1
38,100063.33,associate,39,1
33,40157.43,phd,18,1
59,93067.6,phd,21,0
60,67260.87,high_school,22,1
60,28937.73,high_school,18,0
44,67162.52,masters,53,1
37,34359.79,high_school,46,1
19,89602.55,high_school,31,1
59,62980.96,bachelors,48,1
30,43452.56,associate,14,1
69,72961.41,phd,12,0
38,17763.92,high_school,35,1
39,114230.69,bachelors,47,1
64,34152.98,associate,23,0
25,61126.08,high_school,45,1
38,100767.93,phd,58,1
48,27511.32,masters,49,0
59,33824.84,masters,60,0
30,81386.68,bachelors,33,0
28,105852.12,high_school,55,0
44,17782.43,bachelors,41,0
28,33138.22,high_school,39,0
67,80957.05,phd,59,0
68,63120.61,phd,39,0
40,54277.33,masters,51,0
43,21953.51,associate,34,1
29,108464.22,associate,42,1
66,113602.44,phd,47,0
58,83531.42,bachelors,59,1
39,15005.56,masters,23,0
22,90437.48,associate,55,1
18,61096.57,associate,27,0
68,90211.76,phd,27,1
31,71180.74,masters,31,0
28,107305.49,phd,29,1
61,61600.34,bachelors,59,0
28,102956.54,bachelors,37,1
30,74573.52,high_school,49,1
29,18723.82,associate,41,1
42,38547.9,high_school,47,0
25,107356.29,high_school,23,0
29,84324.96,phd,34,1
55,33741.88,high_school,56,1
54,63304.88,phd,58,0
54,22780.41,phd,10,1
58,50074.89,masters,34,0
48,78815.06,bachelors,30,1
67,73856.56,phd,35,0
49,99001.63,bachelors,60,1
50,61593.22,bachelors,43,0
68,95391.99,high_school,25,0
47,84132.48,phd,10,0
24,88687.27,associate,10,0
49,47056.08,phd,59,0
37,102029.83,bachelors,36,0
36,36100.91,associate,39,1
20,56118.59,associate,55,0
43,114947.59,phd,11,1
34,82585.25,bachelors,15,1
49,30669.18,phd,56,1
41,21283.53,associate,26,1
40,52480.49,high_school,36,0
57,115179.97,high_school,44,0
66,119819.17,associate,31,1
68,43553.92,high_school,32,1
20,84937.06,masters,57,0
56,40428.65,masters,10,0
26,73465.99,associate,42,1
19,75911.94,high_school,33,1
18,42180.02,bachelors,25,1
60,27578.98,bachelors,39,0
59,87540.45,phd,35,1
43,16131.8,phd,58,1
21,38514.85,masters,42,1
21,58230.6,associate,48,0
33,62254.53,masters,33,1
59,21846.19,bachelors,49,1
43,23714.41,phd,31,1
59,65843.02,bachelors,46,0
47,75483.3,high_school,46,0
22,38115.77,phd,37,0
33,37102.05,masters,60,1
44,40771.5,bachelors,32,1
68,60212.65,masters,14,0
26,30784.2,high_school,16,0
62,107918.81,bachelors,38,1
36,116660.52,masters,19,0
31,108054.35,masters,20,1
45,96303.4,phd,42,1
36,88039.96,associate,21,1
40,38459.57,associate,48,0
64,79594.42,masters,35,0
32,118612.84,phd,11,0
18,18105.28,associate,26,0
21,101613.0,bachelors,12,0
69,101912.48,bachelors,51,0
65,91718.98,bachelors,30,1
44,97525.39,associate,44,0
63,63635.96,associate,51,1
39,37815.1,associate,32,0
48,70657.77,bachelors,50,0
28,31963.64,bachelors,10,1
18,69988.5,phd,58,1
34,84425.28,phd,13,1
38,56479.88,high_school,55,0
25,25443.91,bachelors,10,0
28,101927.62,associate,36,0
27,104804.69,phd,36,0
44,72170.09,phd,56,0
34,65473.13,bachelors,13,0
52,57958.38,associate,16,0
62,106871.49,high_school,12,1
29,62245.39,bachelors,47,1
59,29203.13,masters,49,1
51,103454.24,high_school,35,1
34,112399.9,associate,22,0
44,114076.48,associate,43,0
19,44226.91,high_school,56,0
68,17484.11,phd,12,1
25,62083.99,associate,29,1
53,38425.86,masters,54,1
39,93918.26,phd,53,0
55,103932.42,high_school,24,1
38,42674.45,phd,45,0
41,18596.08,bachelors,54,1
34,23407.98,masters,54,1
60,110912.36,high_school,20,1
65,82925.29,masters,22,1
61,116765.22,masters,38,0
43,52621.21,bachelors,35,1
23,105775.92,masters,46,1
41,78928.63,associate,37,1
51,83854.58,phd,31,1
28,65372.9,high_school,21,0
53,38784.01,masters,20,1
50,34473.04,masters,52,0
39,18452.46,phd,29,1
21,36644.19,bachelors,48,0
45,37184.14,phd,26,0
39,56953.09,bachelors,27,0
49,76856.47,phd,23,1
21,91390.38,phd,31,0
52,73905.83,phd,38,1
29,101554.96,bachelors,57,1
49,36141.11,associate,27,0
57,113654.8,high_school,22,0
69,51404.64,high_school,15,0
29,114647.0,high_school,41,1
69,84831.71,high_school,54,0
44,48155.61,masters,39,0
54,109709.05,phd,48,1
52,89412.39,associate,26,0
23,66127.86,phd,53,1
51,65053.99,associate,53,0
46,17734.44,associate,18,1
68,75986.35,associate,32,1
48,71904.09,high_school,39,0
45,67158.85,masters,40,0
47,24094.48,bachelors,56,0
59,109205.42,associate,10,1
21,111211.5,masters,23,0
47,70502.69,phd,28,0
21,109162.64,phd,32,1
28,86044.36,high_school,21,1
36,104786.44,high_school,34,0
52,111239.92,bachelors,54,0
35,117100.64,bachelors,46,0
