sku_id,last_updated,unit_price,stock_qty,supplier_email,warehouse_id,fill_rate
SKU-000119,2024-11-12,221.24,48,bxfg@corp.io,WH03,79.81
SKU-000120,2024-03-13,318.31,652,dcpvw@corp.io,WH04,51.72
SKU-000121,2024-11-20,186.51,794,qigucxp@corp.io,WH02,99.2
SKU-000122,2024-10-04,94.92,174,wpzmd@corp.io,WH02,48.53
SKU-000123,2024-02-28,476.98,859,rvyiphen@outlook.com,WH02,52.54
SKU-000124,2024-08-01,268.06,59,epettmbs@yahoo.com,WH04,30.28
SKU-000125,2024-09-08,215.13,817,vwgm@outlook.com,WH03,74.2
SKU-000126,2024-05-20,65.02,512,bcbj@corp.io,WH02,2.83
SKU-000127,2024-02-01,414.17,652,xaevg@yahoo.com,WH01,49.56
SKU-000128,2024-08-14,342.07,360,wadawcqd@outlook.com,WH03,38.7
SKU-000129,2024-12-14,140.54,409,lidlouzr@gmail.com,WH01,76.78
SKU-000130,2024-02-17,245.24,46,dsyfhg@corp.io,WH04,44.86
SKU-000131,2024-01-15,198.15,127,mwossi@yahoo.com,WH01,24.94
SKU-000132,2024-03-22,493.34,302,aaficej@corp.io,WH04,23.01
SKU-000133,2024-05-13,429.66,836,kxzt@corp.io,WH04,94.96
SKU-000134,2024-05-19,68.0,466,cbxho@gmail.com,WH03,24.07
SKU-000135,2024-01-17,488.67,994,sdfx@corp.io,WH04,12.48
SKU-000136,2024-12-12,110.79,974,rolv@yahoo.com,WH04,27.81
SKU-000137,2024-10-28,276.7,24,qvoewh@outlook.com,WH03,79.19
SKU-000138,2024-04-03,100.85,540,bjoo@outlook.com,WH04,35.23
SKU-000139,2024-08-20,352.91,541,ovbcs@corp.io,WH05,30.71
SKU-000140,2024-07-22,233.75,436,efvzzku@gmail.com,WH02,49.53
SKU-000141,2024-07-22,380.64,264,nyrcwhqt@yahoo.com,WH04,18.08
SKU-000142,2024-10-17,169.39,360,gjuwtol@corp.io,WH03,41.79
SKU-000143,2024-09-03,154.53,883,nptxws@outlook.com,WH04,76.7
SKU-000144,2024-11-04,359.06,333,iwmzod@corp.io,WH04,6.48
SKU-000145,2024-06-23,365.96,886,njevofww@gmail.com,WH05,41.64
SKU-000146,2024-01-07,133.55,968,vtzsm@yahoo.com,WH01,13.33
SKU-000147,2024-10-10,33.8,149,bkrc@yahoo.com,WH02,88.62
SKU-000148,2024-12-15,93.27,12,fglitp@outlook.com,WH04,63.06
SKU-000149,2024-08-23,222.81,446,uvhis@corp.io,WH04,3.4
SKU-000150,2024-05-13,472.65,742,lltkcopn@gmail.com,WH03,49.76
