"invoice_id","supplier_name","category","invoice_date","status","amount_usd","comment"
"INV-119064","Nova Packg. ","Software"," 2024-01-08 ","Pending"," $5,622.53","match to PO required; cost center 116 "
"INV-962028"," Zenith-Components"," Professional Services","2024-02-25 "," Approved "," $4,955.23"," three-way match complete; cost center 112"
"INV-857254"," Zenith Component "," Software","2024-07-03","On Hold ","USD 6, 922.45"," match to PO required; cost center 119 "
"INV-547174"," HELIOS ROBOTICS"," Facility ","2024-04-21 ","Approved","$1,762.89 ","requires VAT documentation; cost center 107"
"INV-939813","Astra suppl."," Hardware","2024-07-27","On Hold "," $8,846.00"," requires VAT documentation; cost center 118"
"INV-467714","VertexLogistics "," Facility","2024-02-27"," Approved ","$1,971.54 ","pending shipping confirmation; cost center 114 "
"INV-112264","Novapackaging "," Logistics","2024-05-12"," Approved","USD 7, 971.03","pending shipping confirmation; cost center 106 "
"INV-702789","Vertex Log. ","Professional Services "," 2024-05-30"," Approved ","$4,786.83","vendor submitted via portal; cost center 107"
"INV-813504"," Zenith Comp.","Professional Services","2024-02-15","On Hold","$2,241.45"," vendor submitted via portal; cost center 114 "
"INV-106941","AstraSupply "," Software"," 2024-04-30","Pending"," USD 6, 552.13 ","price variance escalated; cost center 111 "
"INV-561639"," Helios-Robotics"," Professional Services ","2024-03-22","Approved "," $9,194.68"," three-way match complete; cost center 110 "
"INV-884155"," Vertex Logistics","Facility","2024-05-28 "," Approved "," USD 8, 866.01 "," three-way match complete; cost center 113"
"INV-812790","Zenith Components","Cloud"," 2024-05-27 "," Approved","$4,303.93 "," pending shipping confirmation; cost center 106 "
"INV-908029","Lumen Analytics"," Facility","2024-05-12","Approved"," $9,940.11","vendor submitted via portal; cost center 118 "
"INV-908029","Lumen Analytix"," Facility "," 2024-05-12 ","Approved"," $9,940.11","duplicate submit; consolidate in close process "
"INV-214436"," NovaPack","Logistics ","2024-01-17 ","Approved"," $702.47 ","pending shipping confirmation; cost center 119 "
"INV-300013"," Zenith-Components "," Hardware"," 2024-03-01 ","Approved"," $6,126.59","vendor submitted via portal; cost center 115 "
"INV-160327"," Astra suppl. "," Professional Services","2024-08-05 ","Pending","USD 3, 156.74"," requires VAT documentation; cost center 106 "
"INV-295950","Vertex Log."," Cloud"," 2024-05-31"," On Hold"," $6,708.57"," price variance escalated; cost center 104"
"INV-510751"," Lumen Analytix ","Software"," 2024-08-31 ","Pending "," $1,246.17"," requires VAT documentation; cost center 118 "
"INV-882995"," Nova Packg.","Software"," 2024-04-23 "," Approved ","$3,085.36","three-way match complete; cost center 117"
"INV-213951","Astra suppl.","Cloud"," 2024-07-15","Approved"," USD 3, 046.07 ","price variance escalated; cost center 118"
"INV-131511"," HeliosRobotics "," Facility "," 2024-02-29"," Approved","$7,471.37 ","pending shipping confirmation; cost center 103 "
"INV-640233"," Astra Spp "," Facility"," 2024-03-12","Rejected "," USD 9, 589.52"," vendor submitted via portal; cost center 109"
"INV-452487","VertexLogistics "," Software "," 2024-01-30"," Rejected "," USD 7, 436.33","pending shipping confirmation; cost center 119"
"INV-117109"," Helios Robotix"," Software "," 2024-05-23"," On Hold "," USD 6,055.47 "," pending shipping confirmation; cost center 109 "
"INV-705880"," AstraSupply","Software "," 2024-01-15 "," Approved ","USD 9,833.61 ","three-way match complete; cost center 115"
"INV-474821"," Nova Packg. "," Cloud "," 2024-01-07"," Approved "," USD 3, 395.16 ","match to PO required; cost center 112 "
"INV-173872","Zenith Component","Software "," 2024-04-20","Approved ","$8,496.66 ","match to PO required; cost center 102 "
"INV-381628","Zenith Components "," Hardware","2024-04-04 "," Pending"," $1,872.80 "," vendor submitted via portal; cost center 116"
"INV-425259","Astra-Supplies"," Software"," 2024-07-22 "," Approved "," USD 6,271.45 ","vendor submitted via portal; cost center 113 "
"INV-755854"," Nova-Packaging "," Software"," 2024-07-09","On Hold "," USD 3,564.55"," match to PO required; cost center 101"
"INV-318523"," Zenith Components"," Software ","2024-04-14"," Approved","$9,216.22"," price variance escalated; cost center 105"
"INV-168425","Astra Supplies "," Software "," 2024-06-18"," Approved ","$3,183.47"," vendor submitted via portal; cost center 112 "
"INV-239025"," Zenith Comp.","Cloud"," 2024-07-06","Approved"," USD 5, 741.74 "," vendor submitted via portal; cost center 112 "
"INV-275119","Zenith-Components "," Hardware ","2024-08-16","Approved","USD 2,312.47"," three-way match complete; cost center 103"
"INV-888965","Astra suppl. ","Software"," 2024-06-23","Pending","USD 7, 318.69","pending shipping confirmation; cost center 105 "
"INV-888965"," Astra suppl. ","Software "," 2024-06-23 ","Pending","USD 7, 318.69 ","duplicate submit; consolidate in close process"
"INV-488156"," Helios Robotics ","Cloud ","2024-06-25 "," Approved "," $4,742.74","price variance escalated; cost center 118"
"INV-326119","Nova-Packaging "," Logistics"," 2024-06-08"," Pending"," USD 1,983.29"," match to PO required; cost center 108 "
"INV-592717"," Astra-Supplies","Professional Services"," 2024-04-15 ","On Hold ","USD 1, 711.85 "," vendor submitted via portal; cost center 119 "
"INV-733571","LumenAnalytic","Logistics","2024-02-26"," Approved","$3,108.24 ","requires VAT documentation; cost center 115 "
"INV-819650"," Nova Packaging"," Facility ","2024-07-21","Approved "," $724.27","requires VAT documentation; cost center 117 "
"INV-282517"," Astra Supplies "," Facility","2024-02-11 ","Approved"," USD 3, 352.16 "," price variance escalated; cost center 104 "
"INV-758486"," Nova Packaging "," Cloud ","2024-05-06"," Approved","$5,282.67 ","requires VAT documentation; cost center 111"
"INV-508854"," AstraSupply "," Facility","2024-09-15","Approved ","USD 6, 690.04 ","price variance escalated; cost center 112"
"INV-694192","Zenith Components ","Facility","2024-07-17"," Approved"," $6,547.95"," requires VAT documentation; cost center 111"
"INV-310481"," Vertex Logistics","Software","2024-08-31"," Pending "," USD 2, 107.35","vendor submitted via portal; cost center 104"
"INV-531490"," LumenAnalytics "," Software"," 2024-02-27 ","Approved ","USD 1,840.91"," requires VAT documentation; cost center 119 "
"INV-531490"," LumenAnalytic ","Software"," 2024-02-27","Approved ","USD 1,840.91","duplicate submit; consolidate in close process "
"INV-386221"," Zenith-Components "," Facility","2024-03-31 "," Rejected "," USD 8, 864.72 ","pending shipping confirmation; cost center 101"
"INV-869507"," Zenith Components"," Software "," 2024-03-07 "," Pending"," USD 8, 491.54","match to PO required; cost center 110 "
"INV-520276"," Nova Packg.","Facility "," 2024-09-25 "," Approved"," $8,568.55 "," vendor submitted via portal; cost center 106"
"INV-189926","Astra-Supplies","Hardware "," 2024-06-24","Rejected ","$2,583.41"," vendor submitted via portal; cost center 117"
"INV-218522","Lumen-Analytics "," Facility "," 2024-01-19","Approved"," $1,098.43"," price variance escalated; cost center 119"
"INV-488561","Vertex-Logistics ","Logistics","2024-09-24","Pending"," USD 4,181.00"," pending shipping confirmation; cost center 119 "
"INV-488561","Vtx Logistics"," Logistics ","2024-09-24"," Pending"," USD 4,181.00 "," duplicate submit; consolidate in close process"
"INV-808408"," HELIOS ROBOTICS "," Logistics"," 2024-08-14 ","Approved","USD 7, 305.34 "," match to PO required; cost center 117"
"INV-636603"," Astra Spp","Facility"," 2024-04-22 ","Approved"," USD 5, 728.46"," vendor submitted via portal; cost center 107 "
"INV-421876","Astra Supplies"," Professional Services "," 2024-08-29"," Approved ","$2,704.51","match to PO required; cost center 100 "
"INV-245709","Astra Spp ","Facility "," 2024-06-15"," Pending","USD 6,235.96"," price variance escalated; cost center 107"
"INV-869469","NovaPack ","Hardware ","2024-05-09 ","Approved ","$2,870.09"," three-way match complete; cost center 112"
"INV-484598","HELIOS ROBOTICS "," Software","2024-02-26","Approved"," $9,292.85"," pending shipping confirmation; cost center 108"
"INV-879826","Nova Packaging "," Hardware ","2024-04-21 ","Rejected ","USD 2, 739.41"," vendor submitted via portal; cost center 108 "
"INV-155026"," Lumen Analytix","Facility","2024-08-25"," Approved "," $9,859.73 ","requires VAT documentation; cost center 110"
"INV-324802","LumenAnalytic"," Hardware","2024-05-19 "," Approved "," USD 4, 104.24 "," three-way match complete; cost center 116 "
"INV-323254"," Lumen Analytix"," Professional Services "," 2024-05-22","On Hold","$9,650.00 "," requires VAT documentation; cost center 110 "
"INV-517483","Helios Robotix","Software"," 2024-05-25","Pending"," $9,722.40 ","three-way match complete; cost center 117 "
"INV-188916","Lumen Analytics "," Hardware ","2024-09-11 "," Approved","$8,523.72","match to PO required; cost center 107 "
"INV-503114"," Astra suppl.","Facility "," 2024-07-10 ","Approved ","$8,260.98","requires VAT documentation; cost center 114 "
"INV-396809"," Nova Packaging"," Software "," 2024-01-04"," Approved "," USD 4, 937.01 ","three-way match complete; cost center 115 "
"INV-986444","Lumen Analytics"," Logistics","2024-01-23"," Approved ","$3,753.09","price variance escalated; cost center 102"
"INV-871714"," Vtx Logistics "," Professional Services ","2024-08-22 ","On Hold"," $6,419.13","vendor submitted via portal; cost center 109"
"INV-871714"," Vertex-Logistics"," Professional Services ","2024-08-22 "," On Hold","$6,419.13 ","duplicate submit; consolidate in close process "
"INV-650218","Lumen Analytix","Facility ","2024-04-29","Approved "," $9,114.65 "," vendor submitted via portal; cost center 116 "
"INV-947958"," Vertex-Logistics","Logistics","2024-05-29"," Approved"," $7,586.77 ","price variance escalated; cost center 114 "
"INV-648406","Astra Spp "," Professional Services "," 2024-04-03","Rejected "," $6,407.69 "," three-way match complete; cost center 109"
"INV-648406"," Astra suppl. "," Professional Services "," 2024-04-03","Rejected","$6,407.69 ","duplicate submit; consolidate in close process "
"INV-244110"," Novapackaging","Software","2024-02-13 "," Approved "," $3,825.70 ","three-way match complete; cost center 118"
"INV-307202"," AstraSupply "," Cloud "," 2024-06-08"," On Hold"," $8,434.73","price variance escalated; cost center 110 "
"INV-926048","Helios Robotics"," Professional Services","2024-05-29 "," Approved "," $8,401.09 "," price variance escalated; cost center 117 "
"INV-708883"," Lumen-Analytics ","Logistics ","2024-09-26"," On Hold","$8,582.35","vendor submitted via portal; cost center 114"
"INV-639813"," Astra-Supplies","Cloud "," 2024-09-01 ","Pending "," $5,291.83","pending shipping confirmation; cost center 110 "
"INV-316758"," Astra suppl. ","Cloud","2024-03-15 "," Approved "," USD 1,839.56","three-way match complete; cost center 117"
"INV-897974"," ZenithComponents "," Logistics","2024-08-31","Pending ","$6,354.84 "," match to PO required; cost center 115 "
"INV-118902","VertexLogistics","Facility"," 2024-05-01 ","On Hold ","$587.43 ","three-way match complete; cost center 110 "
"INV-118902"," Vertex Logistics "," Facility ","2024-05-01","On Hold"," $587.43","duplicate submit; consolidate in close process"
"INV-339832","Vertex Log. "," Logistics ","2024-07-12"," Pending "," USD 1, 363.46 "," price variance escalated; cost center 112"
"INV-887072","Zenith Components","Software ","2024-01-13 ","Approved "," USD 1, 363.25 ","three-way match complete; cost center 117"
"INV-942051","VertexLogistics "," Hardware"," 2024-07-26 ","Approved "," $9,670.38","three-way match complete; cost center 102"
"INV-235968"," Nova Packg."," Logistics "," 2024-09-28"," Approved","$8,791.81","vendor submitted via portal; cost center 106 "
"INV-172029","Zenith Components "," Hardware","2024-05-09 "," Approved "," $9,778.11 ","pending shipping confirmation; cost center 115"
"INV-123613"," Novapackaging"," Professional Services "," 2024-03-03","Approved","$2,463.03"," pending shipping confirmation; cost center 104"
"INV-627386"," Vertex-Logistics ","Software "," 2024-04-06","On Hold ","$6,277.60","pending shipping confirmation; cost center 103 "
"INV-420129","Helios-Robotics"," Professional Services ","2024-07-21","Approved "," $803.39 "," pending shipping confirmation; cost center 106 "
"INV-452524","Vertex-Logistics "," Hardware"," 2024-02-19 ","Approved "," USD 8,954.78","vendor submitted via portal; cost center 115"
"INV-732103"," Astra Supplies"," Hardware "," 2024-05-19 "," Approved"," $3,909.74 ","three-way match complete; cost center 111 "
"INV-491734"," Vertex Logistics "," Facility "," 2024-08-25","Pending","$9,675.41 ","match to PO required; cost center 117"
"INV-936451","Helios Robotix","Professional Services "," 2024-09-03"," Approved","$3,991.32 "," vendor submitted via portal; cost center 108"
"INV-263329","LumenAnalytic","Professional Services"," 2024-07-25"," Pending "," $7,393.29"," vendor submitted via portal; cost center 112"
"INV-191779","Helios-Robotics "," Professional Services "," 2024-01-16","Pending","USD 7, 446.03 "," requires VAT documentation; cost center 105"
"INV-444156","Zenith-Components","Facility ","2024-02-05"," Pending ","$9,543.79"," price variance escalated; cost center 107"
"INV-435741"," NovaPack"," Cloud "," 2024-01-14"," Approved ","$6,008.70 ","price variance escalated; cost center 115"
"INV-381728","Helios Robotix"," Logistics","2024-02-20","Approved"," $1,924.03 ","price variance escalated; cost center 105"
"INV-959619","Nova-Packaging","Cloud"," 2024-04-06 ","Approved ","$662.57 "," requires VAT documentation; cost center 118 "
"INV-146888"," Helios Robotix","Professional Services"," 2024-03-19 ","Approved "," $6,645.59"," pending shipping confirmation; cost center 118 "
"INV-604720","Zenith-Components","Hardware ","2024-01-07"," Approved ","USD 8,984.95"," pending shipping confirmation; cost center 110 "
"INV-765905","HELIOS ROBOTICS"," Hardware "," 2024-08-03","Approved","$2,826.07 ","vendor submitted via portal; cost center 118"
"INV-334962"," HeliosRobotics","Facility ","2024-01-07 ","Approved","$3,108.90 ","requires VAT documentation; cost center 102"
"INV-334962","HeliosRobotics "," Facility"," 2024-01-07","Approved","$3,108.90","duplicate submit; consolidate in close process "
"INV-335010"," Vtx Logistics ","Cloud"," 2024-02-13","Rejected"," $3,964.92","match to PO required; cost center 107 "
"INV-609842"," VertexLogistics ","Software ","2024-07-10"," Approved ","USD 4, 759.76 "," vendor submitted via portal; cost center 101 "
"INV-357121"," Vtx Logistics","Professional Services ","2024-07-11"," Pending "," $8,340.02","three-way match complete; cost center 108"
"INV-357121"," Vertex Logistics ","Professional Services","2024-07-11","Pending","$8,340.02","duplicate submit; consolidate in close process"
"INV-506580","Zenith Comp. "," Hardware ","2024-01-29 "," Approved","$4,837.21 "," three-way match complete; cost center 106 "
"INV-213759"," Nova-Packaging ","Software"," 2024-07-24 "," Approved ","USD 8,662.42","pending shipping confirmation; cost center 118"
"INV-933205"," Zenith Components","Hardware"," 2024-03-02","Approved","USD 6, 833.97","match to PO required; cost center 101 "
"INV-866708"," AstraSupply","Cloud","2024-06-23","Approved"," USD 3, 577.75 "," price variance escalated; cost center 106"
"INV-195184"," Nova-Packaging ","Software "," 2024-01-20"," Approved","$3,435.78"," match to PO required; cost center 116 "
"INV-195184","NovaPack","Software "," 2024-01-20 "," Approved ","$3,435.78"," duplicate submit; consolidate in close process"
"INV-785532","NovaPack"," Facility "," 2024-06-10"," Approved "," $6,433.01"," vendor submitted via portal; cost center 115"
"INV-231058"," HeliosRobotics"," Logistics ","2024-03-29 "," Rejected ","$8,367.00 "," three-way match complete; cost center 111"
"INV-627483"," Novapackaging","Software"," 2024-09-29","On Hold ","$3,929.92 "," match to PO required; cost center 118 "
"INV-627483"," Nova Packaging","Software"," 2024-09-29"," On Hold ","$3,929.92 "," duplicate submit; consolidate in close process "
"INV-746212","Nova Packg. "," Facility"," 2024-08-20"," Pending ","$5,101.49 "," requires VAT documentation; cost center 101 "
"INV-687348"," Lumen Analytics","Software"," 2024-07-23","Rejected"," $1,839.22","pending shipping confirmation; cost center 111 "
"INV-914018"," HELIOS ROBOTICS"," Cloud "," 2024-08-28"," Approved","USD 8,013.16 ","requires VAT documentation; cost center 117 "
"INV-383241","Zenith Components"," Facility ","2024-04-26 ","Rejected"," $4,410.19"," three-way match complete; cost center 109 "
"INV-872866"," Astra Supplies "," Software "," 2024-08-16","Approved ","USD 6,593.69","three-way match complete; cost center 117 "
"INV-549663","Lumen Analytics "," Logistics"," 2024-09-04"," Approved"," $8,221.90 ","vendor submitted via portal; cost center 112 "
"INV-549663"," Lumen Analytics "," Logistics"," 2024-09-04"," Approved ","$8,221.90 ","duplicate submit; consolidate in close process "
"INV-262394"," Vertex Log. "," Facility","2024-08-12"," Pending "," USD 4, 939.97"," requires VAT documentation; cost center 101 "
"INV-769250","LumenAnalytics","Hardware ","2024-02-28","Pending"," $9,551.16 "," three-way match complete; cost center 113"
"INV-506816"," Astra Supplies ","Logistics ","2024-04-09"," Approved","USD 9, 405.42 "," pending shipping confirmation; cost center 115"
"INV-750993"," Zenith-Components"," Logistics "," 2024-05-31"," Pending","$1,232.01","three-way match complete; cost center 106 "
"INV-856464"," Astra suppl.","Facility","2024-02-01 ","On Hold","$6,787.44 ","three-way match complete; cost center 111 "
"INV-856464","Astra-Supplies ","Facility ","2024-02-01","On Hold"," $6,787.44 ","duplicate submit; consolidate in close process "
"INV-339701"," Vertex Log. "," Hardware ","2024-05-21","Approved","USD 2,895.41 ","match to PO required; cost center 116 "
"INV-285072","Nova Packg.","Cloud ","2024-04-15 "," Approved"," $3,611.60 ","match to PO required; cost center 112"
"INV-910731","Vertex-Logistics"," Software"," 2024-02-09 "," Approved","USD 4, 277.94 ","vendor submitted via portal; cost center 102"
"INV-388956"," Vertex-Logistics "," Hardware ","2024-03-07"," Approved ","$9,177.18","three-way match complete; cost center 118 "
"INV-810711","Nova Packaging "," Hardware"," 2024-03-23"," Approved","$8,346.37"," requires VAT documentation; cost center 111"
"INV-663463"," Vtx Logistics","Logistics"," 2024-06-30 ","Rejected"," $6,395.14","pending shipping confirmation; cost center 117 "
"INV-751522"," Astra-Supplies"," Professional Services"," 2024-06-09 "," Approved "," $1,233.11"," three-way match complete; cost center 100"
"INV-751522"," Astra suppl."," Professional Services ","2024-06-09 "," Approved"," $1,233.11","duplicate submit; consolidate in close process "
"INV-226118"," ZenithComponents ","Facility"," 2024-03-26 ","Pending"," $2,164.75 "," three-way match complete; cost center 101 "
"INV-602181","Helios Robotix "," Professional Services ","2024-07-14 "," Approved "," $1,860.12 ","pending shipping confirmation; cost center 119 "
"INV-127320"," Helios Robotix"," Software"," 2024-05-29 "," Approved "," $6,779.27 "," requires VAT documentation; cost center 100 "
"INV-691811"," HELIOS ROBOTICS","Facility "," 2024-07-26 "," Approved"," $9,529.13","pending shipping confirmation; cost center 108"
"INV-406153","Novapackaging "," Facility ","2024-02-29 "," Rejected ","$7,274.76 ","price variance escalated; cost center 111 "
"INV-622270","Vertex-Logistics "," Logistics"," 2024-04-02","Approved","$9,051.88","three-way match complete; cost center 117 "
"INV-549966","AstraSupply","Logistics"," 2024-01-26","On Hold ","$555.29 ","vendor submitted via portal; cost center 108"
"INV-628174"," Astra suppl. "," Software","2024-04-07 ","Approved ","USD 8, 331.32","vendor submitted via portal; cost center 102"
"INV-575183"," LumenAnalytic ","Hardware"," 2024-07-18"," Approved"," $9,781.65"," three-way match complete; cost center 109"
"INV-400229","Lumen-Analytics"," Cloud","2024-07-15 ","On Hold","USD 1, 290.09"," vendor submitted via portal; cost center 104"
"INV-400229","Lumen-Analytics"," Cloud","2024-07-15","On Hold ","USD 1, 290.09"," duplicate submit; consolidate in close process "
"INV-674491"," Astra suppl. ","Hardware"," 2024-04-22"," Approved ","USD 4,428.18"," pending shipping confirmation; cost center 113"
"INV-693225","LumenAnalytic"," Professional Services ","2024-08-28","Approved ","$1,005.19"," price variance escalated; cost center 114"
"INV-867237"," LumenAnalytics"," Software ","2024-02-24","Approved "," $8,260.01 "," vendor submitted via portal; cost center 113 "
"INV-225353","Lumen-Analytics","Hardware"," 2024-08-31"," Approved","$4,028.90 "," vendor submitted via portal; cost center 115 "
"INV-127536"," Helios Robotix","Facility ","2024-03-10 ","Approved"," $9,625.84"," vendor submitted via portal; cost center 101"
"INV-241446","Zenith-Components "," Professional Services "," 2024-05-09 "," On Hold "," $7,248.05 ","match to PO required; cost center 113"
"INV-921472","VertexLogistics"," Facility ","2024-05-23 ","Approved ","USD 9, 672.96 ","vendor submitted via portal; cost center 104"
"INV-622646","HeliosRobotics","Facility"," 2024-02-11","Rejected ","$7,773.08 ","price variance escalated; cost center 113"
"INV-622646"," HeliosRobotics"," Facility ","2024-02-11 "," Rejected ","$7,773.08","duplicate submit; consolidate in close process "
"INV-555197","Vertex Log. ","Professional Services "," 2024-08-20","On Hold","$9,641.18"," pending shipping confirmation; cost center 110 "
"INV-413479","Astra Supplies","Facility"," 2024-03-13"," Rejected "," USD 7, 419.95 ","requires VAT documentation; cost center 105 "
"INV-644069"," Lumen Analytix"," Professional Services "," 2024-04-04"," Pending ","USD 8, 082.83"," requires VAT documentation; cost center 117"
"INV-623333","Lumen Analytics","Cloud "," 2024-09-28 "," Rejected"," $4,660.65 ","three-way match complete; cost center 110 "
"INV-317113"," Nova-Packaging"," Facility "," 2024-01-26 "," Approved ","$9,887.66 "," match to PO required; cost center 109"
"INV-346406"," ZenithComponents"," Professional Services","2024-06-18","On Hold ","USD 4, 324.52","three-way match complete; cost center 113 "
"INV-441357","Vertex Logistics","Facility","2024-06-20","Pending ","USD 2, 161.27 ","vendor submitted via portal; cost center 101"
"INV-642910"," Zenith Components ","Cloud "," 2024-06-01"," On Hold ","$5,565.63 "," match to PO required; cost center 114 "
"INV-577703"," Helios-Robotics","Hardware"," 2024-01-31 ","Approved "," USD 4, 477.42 ","price variance escalated; cost center 110"
"INV-508170","Vertex Logistics ","Software "," 2024-01-27","On Hold","USD 5, 878.51","pending shipping confirmation; cost center 115"
"INV-566619","LumenAnalytics","Cloud","2024-05-10","Pending","USD 1,657.20"," three-way match complete; cost center 105"
"INV-615784","Nova-Packaging"," Facility ","2024-01-11","Approved"," $3,574.00"," price variance escalated; cost center 118 "
"INV-398826"," VertexLogistics ","Hardware","2024-05-28","On Hold ","USD 5, 700.85 ","match to PO required; cost center 102"
"INV-480665"," Astra Supplies "," Professional Services"," 2024-03-24 "," Approved","$5,188.41 ","vendor submitted via portal; cost center 118"
"INV-480665"," Astra-Supplies "," Professional Services","2024-03-24"," Approved","$5,188.41","duplicate submit; consolidate in close process"
"INV-113061"," ZenithComponents"," Facility"," 2024-07-26 "," Rejected "," USD 8,367.48","match to PO required; cost center 115"
"INV-564593"," Helios Robotix"," Software"," 2024-09-06 ","Approved"," USD 581.84","price variance escalated; cost center 103"
"INV-803840"," LumenAnalytic ","Hardware ","2024-03-21 ","Approved "," $3,387.27","vendor submitted via portal; cost center 108 "
"INV-803840","LumenAnalytic"," Hardware","2024-03-21 "," Approved","$3,387.27 ","duplicate submit; consolidate in close process "
"INV-333139"," Nova-Packaging","Professional Services","2024-08-05 ","Approved","$9,618.71 ","price variance escalated; cost center 112"
"INV-134646"," Zenith-Components","Facility","2024-08-10"," Approved ","USD 8, 571.62 "," three-way match complete; cost center 110"
"INV-323163"," Vtx Logistics"," Logistics ","2024-08-27"," Pending","$5,385.75","match to PO required; cost center 104"
"INV-323163"," Vertex Logistics"," Logistics"," 2024-08-27 ","Pending ","$5,385.75 "," duplicate submit; consolidate in close process"
"INV-223049","Vtx Logistics","Hardware ","2024-08-13 "," Pending "," $1,905.60"," price variance escalated; cost center 104"
"INV-880424","Nova Packg.","Cloud "," 2024-05-23","Rejected"," USD 9, 727.70 ","pending shipping confirmation; cost center 108 "
"INV-957016","Astra suppl. ","Software","2024-08-08"," On Hold","USD 5,421.85 ","requires VAT documentation; cost center 118 "
"INV-353133"," Astra-Supplies","Cloud","2024-09-02","Approved","$889.81 ","pending shipping confirmation; cost center 105"
"INV-995750"," Helios Robotics "," Software ","2024-02-25","Pending ","USD 4, 918.75 ","price variance escalated; cost center 106"
"INV-409611"," Astra Spp"," Logistics","2024-01-05 ","Approved"," USD 6, 815.05"," three-way match complete; cost center 106"
"INV-409611"," Astra suppl. "," Logistics "," 2024-01-05 "," Approved","USD 6, 815.05"," duplicate submit; consolidate in close process "
"INV-720390","Astra suppl."," Logistics "," 2024-06-19 "," Approved","$5,274.06","vendor submitted via portal; cost center 101"
"INV-720390","Astra suppl. ","Logistics","2024-06-19 "," Approved "," $5,274.06"," duplicate submit; consolidate in close process "
"INV-408335"," LumenAnalytics","Cloud"," 2024-09-06","On Hold"," $6,643.67"," pending shipping confirmation; cost center 100 "
"INV-600432","Nova Packaging ","Professional Services "," 2024-01-31","Approved"," $8,001.73","price variance escalated; cost center 100 "
"INV-961672"," Zenith Component "," Software"," 2024-01-10"," On Hold","$6,491.28 "," requires VAT documentation; cost center 116 "
"INV-961672","Zenith Component","Software "," 2024-01-10 ","On Hold ","$6,491.28 ","duplicate submit; consolidate in close process "
"INV-785508"," Vtx Logistics ","Facility ","2024-07-20 "," Approved "," USD 4, 608.08 ","pending shipping confirmation; cost center 110 "
