timestamp,location,sensor,value
2024-01-11T00:49:00.000Z,zone-d,pressure,1000.9
2024-01-11T04:05:00.000Z,zone-c,light,532.4
2024-01-11T04:08:00.000Z,zone-b,temperature,24.8
2024-01-11T04:27:00.000Z,zone-a,pressure,1010.5
2024-01-11T06:24:00.000Z,zone-d,light,316.5
2024-01-11T11:18:00.000Z,zone-c,temperature,17.7
2024-01-11T13:45:00.000Z,zone-a,humidity,56
2024-01-11T15:04:00.000Z,zone-a,light,225.8
2024-01-11T15:35:00.000Z,zone-b,pressure,1014.3
2024-01-11T17:39:00.000Z,zone-c,pressure,1014.9
2024-01-11T18:07:00.000Z,zone-c,humidity,47.1
2024-01-11T19:44:00.000Z,zone-b,light,514.6
2024-01-11T19:52:00.000Z,zone-c,light,869.4
2024-01-11T21:40:00.000Z,zone-b,temperature,34.7
2024-01-11T21:47:00.000Z,zone-a,temperature,25.3
2024-01-11T23:35:00.000Z,zone-a,light,261.4
2024-01-12T00:27:00.000Z,zone-d,pressure,990.1
2024-01-12T02:20:00.000Z,zone-c,temperature,31.4
2024-01-12T04:47:00.000Z,zone-a,pressure,1019
2024-01-12T05:18:00.000Z,zone-d,humidity,72.4
2024-01-12T05:25:00.000Z,zone-b,humidity,42.2
2024-01-12T09:34:00.000Z,zone-b,pressure,998.3
2024-01-12T10:02:00.000Z,zone-d,temperature,30.5
2024-01-12T12:26:00.000Z,zone-c,pressure,1001.5
2024-01-12T13:30:00.000Z,zone-c,humidity,53.5
2024-01-12T17:19:00.000Z,zone-d,light,105.8
2024-01-12T17:33:00.000Z,zone-a,humidity,47.1
2024-01-12T22:40:00.000Z,zone-a,pressure,1010.1
2024-01-13T00:23:00.000Z,zone-a,humidity,40.6
2024-01-13T00:35:00.000Z,zone-c,humidity,49.7
2024-01-13T00:56:00.000Z,zone-c,pressure,994.3
2024-01-13T02:29:00.000Z,zone-a,temperature,15.6
2024-01-13T03:13:00.000Z,zone-a,light,545.1
2024-01-13T03:28:00.000Z,zone-b,pressure,1015.4
2024-01-13T06:45:00.000Z,zone-c,light,813.2
2024-01-13T10:11:00.000Z,zone-c,temperature,18.9
2024-01-13T12:06:00.000Z,zone-b,light,407.5
2024-01-13T12:55:00.000Z,zone-b,temperature,24.5
2024-01-13T13:32:00.000Z,zone-d,light,813.4
2024-01-13T13:54:00.000Z,zone-d,temperature,24.7
2024-01-13T14:00:00.000Z,zone-b,humidity,67.3
2024-01-13T15:05:00.000Z,zone-d,humidity,65.2
2024-01-13T15:07:00.000Z,zone-d,pressure,1011.9
2024-01-13T19:58:00.000Z,zone-c,humidity,68.4
2024-01-13T20:07:00.000Z,zone-c,pressure,1008.4
2024-01-13T20:53:00.000Z,zone-a,light,419.4
2024-01-13T21:22:00.000Z,zone-b,temperature,27.6
2024-01-13T21:25:00.000Z,zone-b,light,198.8
2024-01-13T22:28:00.000Z,zone-a,humidity,76.8
2024-01-14T01:04:00.000Z,zone-a,temperature,27.4
2024-01-14T06:17:00.000Z,zone-b,humidity,40.3
2024-01-14T06:53:00.000Z,zone-a,pressure,992
2024-01-14T08:32:00.000Z,zone-d,pressure,999.3
2024-01-14T10:08:00.000Z,zone-c,light,317.3
2024-01-14T10:56:00.000Z,zone-d,temperature,22.9
2024-01-14T11:09:00.000Z,zone-b,pressure,1011.1
2024-01-14T14:04:00.000Z,zone-d,humidity,62.5
2024-01-14T15:18:00.000Z,zone-d,light,706.9
2024-01-14T17:12:00.000Z,zone-c,temperature,27.9
2024-01-14T19:31:00.000Z,zone-a,humidity,48.1
2024-01-14T20:13:00.000Z,zone-d,light,679.7
2024-01-14T22:18:00.000Z,zone-a,temperature,33
2024-01-15T00:03:00.000Z,zone-b,humidity,55.9
2024-01-15T02:15:00.000Z,zone-a,light,877.8
2024-01-15T02:30:00.000Z,zone-d,temperature,31.1
2024-01-15T03:50:00.000Z,zone-c,humidity,51.1
2024-01-15T04:21:00.000Z,zone-c,temperature,25.2
2024-01-15T04:47:00.000Z,zone-c,pressure,1004.2
2024-01-15T06:15:00.000Z,zone-c,light,846.2
2024-01-15T08:30:00.000Z,zone-b,temperature,33.7
2024-01-15T09:36:00.000Z,zone-b,light,431
2024-01-15T09:54:00.000Z,zone-d,pressure,1002.1
2024-01-15T15:31:00.000Z,zone-a,pressure,1001.9
2024-01-15T16:46:00.000Z,zone-d,humidity,57.8
2024-01-15T18:04:00.000Z,zone-b,pressure,1012.1
2024-01-15T20:03:00.000Z,zone-c,temperature,18.6
2024-01-15T21:29:00.000Z,zone-d,pressure,993.4
2024-01-15T21:57:00.000Z,zone-c,humidity,53.2
2024-01-15T23:49:00.000Z,zone-c,light,288.5
2024-01-16T00:32:00.000Z,zone-b,humidity,64
2024-01-16T02:29:00.000Z,zone-a,temperature,33.4
2024-01-16T02:40:00.000Z,zone-b,temperature,24.6
2024-01-16T04:30:00.000Z,zone-c,pressure,990.6
2024-01-16T04:42:00.000Z,zone-b,pressure,1011.1
2024-01-16T04:56:00.000Z,zone-d,light,100.4
2024-01-16T05:28:00.000Z,zone-b,light,860
2024-01-16T09:20:00.000Z,zone-a,light,334.4
2024-01-16T11:50:00.000Z,zone-a,humidity,34.6
2024-01-16T13:10:00.000Z,zone-a,pressure,1008.3
2024-01-16T15:55:00.000Z,zone-d,temperature,20.7
2024-01-16T17:50:00.000Z,zone-d,humidity,41.1
2024-01-16T19:04:00.000Z,zone-b,pressure,1019.1
2024-01-16T19:11:00.000Z,zone-b,light,400.5
2024-01-16T20:37:00.000Z,zone-d,light,816.9
2024-01-16T22:50:00.000Z,zone-b,temperature,33.4
2024-01-17T02:35:00.000Z,zone-b,humidity,61
2024-01-17T04:37:00.000Z,zone-c,temperature,18.9
2024-01-17T04:55:00.000Z,zone-d,temperature,19.9
2024-01-17T05:31:00.000Z,zone-c,light,129.4
2024-01-17T09:09:00.000Z,zone-d,humidity,55
2024-01-17T09:22:00.000Z,zone-c,pressure,1011.2
2024-01-17T10:43:00.000Z,zone-a,temperature,24.3
2024-01-17T10:49:00.000Z,zone-c,humidity,78.6
2024-01-17T11:55:00.000Z,zone-a,pressure,1017.4
2024-01-17T13:46:00.000Z,zone-a,light,812.1
2024-01-17T14:06:00.000Z,zone-d,pressure,992.6
2024-01-17T17:17:00.000Z,zone-a,humidity,49.5
2024-01-17T19:46:00.000Z,zone-a,pressure,1002.4
2024-01-17T20:07:00.000Z,zone-d,pressure,1010.5
2024-01-17T20:49:00.000Z,zone-b,light,719.7
2024-01-17T21:44:00.000Z,zone-c,humidity,44
2024-01-17T23:24:00.000Z,zone-b,humidity,44.1
2024-01-18T00:12:00.000Z,zone-b,pressure,1010.9
2024-01-18T00:46:00.000Z,zone-a,humidity,34.6
2024-01-18T01:14:00.000Z,zone-a,light,585.2
2024-01-18T01:19:00.000Z,zone-c,light,588.1
2024-01-18T03:56:00.000Z,zone-a,temperature,23.7
2024-01-18T06:55:00.000Z,zone-d,temperature,15
2024-01-18T09:38:00.000Z,zone-b,temperature,19.1
2024-01-18T10:17:00.000Z,zone-c,temperature,34.6
2024-01-18T12:18:00.000Z,zone-d,humidity,55.9
2024-01-18T13:25:00.000Z,zone-c,pressure,991.3
2024-01-18T16:20:00.000Z,zone-d,light,290
2024-01-18T21:43:00.000Z,zone-b,humidity,61.4
2024-01-19T00:56:00.000Z,zone-d,light,340.9
2024-01-19T01:10:00.000Z,zone-a,pressure,1014.5
2024-01-19T06:06:00.000Z,zone-c,pressure,1000.3
2024-01-19T07:08:00.000Z,zone-b,pressure,1009.2
2024-01-19T09:00:00.000Z,zone-b,light,453.9
2024-01-19T13:04:00.000Z,zone-d,temperature,24.2
2024-01-19T13:55:00.000Z,zone-a,light,211
2024-01-19T13:55:00.000Z,zone-d,humidity,68.5
2024-01-19T14:15:00.000Z,zone-c,humidity,56.4
2024-01-19T14:33:00.000Z,zone-c,light,364.6
2024-01-19T14:48:00.000Z,zone-c,temperature,19.9
2024-01-19T15:30:00.000Z,zone-b,temperature,19.2
2024-01-19T15:58:00.000Z,zone-d,pressure,1003.5
2024-01-19T17:10:00.000Z,zone-a,humidity,78.2
2024-01-19T18:15:00.000Z,zone-a,temperature,15.3
2024-01-19T20:52:00.000Z,zone-c,humidity,39.2
2024-01-19T23:11:00.000Z,zone-d,humidity,53.8
2024-01-19T23:49:00.000Z,zone-b,temperature,18.8
2024-01-20T01:16:00.000Z,zone-c,pressure,1001.8
2024-01-20T04:36:00.000Z,zone-c,temperature,24.2
2024-01-20T04:41:00.000Z,zone-b,light,816.6
2024-01-20T05:03:00.000Z,zone-a,humidity,37.5
2024-01-20T05:08:00.000Z,zone-d,pressure,1002.5
2024-01-20T06:29:00.000Z,zone-b,humidity,64.9
2024-01-20T11:29:00.000Z,zone-a,light,393.8
2024-01-20T12:03:00.000Z,zone-a,temperature,34.6
2024-01-20T13:08:00.000Z,zone-d,temperature,23.6
2024-01-20T13:17:00.000Z,zone-d,light,171.3
2024-01-20T13:32:00.000Z,zone-c,light,784.5
2024-01-20T14:24:00.000Z,zone-a,pressure,1018.2
2024-01-20T17:26:00.000Z,zone-b,pressure,1007.1
2024-01-20T18:35:00.000Z,zone-c,humidity,40.5
2024-01-20T21:31:00.000Z,zone-c,temperature,30.7
2024-01-20T21:32:00.000Z,zone-c,pressure,1013.1
2024-01-20T22:11:00.000Z,zone-a,light,368.5
2024-01-20T22:30:00.000Z,zone-b,temperature,25.6
2024-01-21T00:18:00.000Z,zone-b,humidity,70.3
2024-01-21T01:53:00.000Z,zone-b,pressure,1016.7
2024-01-21T03:10:00.000Z,zone-a,pressure,1010.5
2024-01-21T04:32:00.000Z,zone-d,humidity,37.2
2024-01-21T06:00:00.000Z,zone-d,light,358.4
2024-01-21T07:40:00.000Z,zone-d,pressure,991.2
2024-01-21T07:41:00.000Z,zone-a,temperature,23.5
2024-01-21T12:04:00.000Z,zone-b,light,261.4
2024-01-21T13:13:00.000Z,zone-a,humidity,72.8
2024-01-21T15:16:00.000Z,zone-c,light,137.3
2024-01-21T18:01:00.000Z,zone-d,temperature,22.2
2024-01-21T19:12:00.000Z,zone-a,temperature,33.7
2024-01-21T20:40:00.000Z,zone-b,pressure,994.7
2024-01-21T21:20:00.000Z,zone-d,light,105.7
2024-01-21T21:51:00.000Z,zone-b,humidity,60.7
2024-01-21T22:47:00.000Z,zone-b,light,151.3
2024-01-21T23:44:00.000Z,zone-c,light,195.3
2024-01-22T00:25:00.000Z,zone-c,humidity,60
2024-01-22T02:20:00.000Z,zone-d,humidity,66.8
2024-01-22T03:39:00.000Z,zone-a,humidity,74.6
2024-01-22T08:13:00.000Z,zone-c,temperature,17.5
2024-01-22T08:32:00.000Z,zone-b,temperature,32.6
2024-01-22T08:44:00.000Z,zone-d,temperature,18.3
2024-01-22T08:46:00.000Z,zone-d,pressure,992.1
2024-01-22T16:13:00.000Z,zone-a,light,162.7
2024-01-22T16:44:00.000Z,zone-c,pressure,1016.3
2024-01-22T17:32:00.000Z,zone-a,pressure,1003.4
2024-01-22T19:09:00.000Z,zone-c,pressure,996.4
2024-01-22T19:36:00.000Z,zone-b,temperature,30.1
2024-01-22T21:58:00.000Z,zone-d,humidity,73.6
2024-01-22T23:32:00.000Z,zone-b,pressure,991
2024-01-22T23:51:00.000Z,zone-d,pressure,1000
2024-01-23T02:15:00.000Z,zone-b,light,451.2
2024-01-23T03:04:00.000Z,zone-a,pressure,1017
2024-01-23T03:40:00.000Z,zone-c,temperature,20.5
2024-01-23T05:56:00.000Z,zone-a,temperature,33.3
2024-01-23T06:22:00.000Z,zone-c,humidity,66
2024-01-23T07:59:00.000Z,zone-a,light,418.4
2024-01-23T08:10:00.000Z,zone-d,temperature,34.7
2024-01-23T08:21:00.000Z,zone-d,light,549.7
2024-01-23T09:47:00.000Z,zone-c,light,760
2024-01-23T12:05:00.000Z,zone-a,humidity,36.5
2024-01-23T17:07:00.000Z,zone-b,humidity,38.8
2024-01-23T19:15:00.000Z,zone-d,temperature,33.7
2024-01-23T19:22:00.000Z,zone-d,light,832.8
2024-01-23T22:54:00.000Z,zone-d,pressure,995.5
2024-01-24T00:34:00.000Z,zone-c,humidity,54.8
2024-01-24T01:43:00.000Z,zone-a,pressure,1009.5
2024-01-24T01:58:00.000Z,zone-b,temperature,16.9
2024-01-24T02:01:00.000Z,zone-c,temperature,25
2024-01-24T07:52:00.000Z,zone-a,temperature,34
2024-01-24T10:15:00.000Z,zone-c,light,748.4
2024-01-24T10:37:00.000Z,zone-d,humidity,70.1
2024-01-24T11:35:00.000Z,zone-b,light,213.7
2024-01-24T12:30:00.000Z,zone-a,humidity,72.2
2024-01-24T12:40:00.000Z,zone-c,pressure,1018.9
2024-01-24T14:53:00.000Z,zone-a,light,138.6
2024-01-24T15:04:00.000Z,zone-b,humidity,40.3
2024-01-24T18:04:00.000Z,zone-b,pressure,1005.8
2024-01-24T19:51:00.000Z,zone-d,humidity,69.1
2024-01-24T21:34:00.000Z,zone-d,temperature,21.6
2024-01-25T00:11:00.000Z,zone-c,humidity,65.1
2024-01-25T01:53:00.000Z,zone-a,pressure,1012.1
2024-01-25T05:43:00.000Z,zone-d,light,502.8
2024-01-25T06:42:00.000Z,zone-a,humidity,45.7
2024-01-25T07:10:00.000Z,zone-c,light,626.9
2024-01-25T07:17:00.000Z,zone-d,pressure,990.6
2024-01-25T07:41:00.000Z,zone-b,temperature,25.5
2024-01-25T08:09:00.000Z,zone-c,pressure,1006.8
2024-01-25T08:55:00.000Z,zone-c,temperature,20.4
2024-01-25T09:00:00.000Z,zone-a,temperature,29.6
2024-01-25T10:12:00.000Z,zone-b,light,859.6
2024-01-25T13:08:00.000Z,zone-b,pressure,1012.8
2024-01-25T15:41:00.000Z,zone-a,light,544
2024-01-25T17:20:00.000Z,zone-b,humidity,55.2
2024-01-25T19:08:00.000Z,zone-c,humidity,34.4
2024-01-25T21:04:00.000Z,zone-d,pressure,1017.2
2024-01-25T21:27:00.000Z,zone-d,temperature,19.7
2024-01-25T22:31:00.000Z,zone-a,pressure,1000.3
2024-01-25T22:53:00.000Z,zone-a,temperature,23.8
2024-01-25T23:21:00.000Z,zone-b,temperature,29.7
2024-01-26T01:55:00.000Z,zone-c,pressure,1006.5
2024-01-26T02:49:00.000Z,zone-d,light,722.5
2024-01-26T03:22:00.000Z,zone-b,pressure,1019.4
2024-01-26T04:48:00.000Z,zone-c,light,208.8
2024-01-26T05:14:00.000Z,zone-c,temperature,27.2
2024-01-26T10:01:00.000Z,zone-a,humidity,32
2024-01-26T13:31:00.000Z,zone-d,humidity,43
2024-01-26T13:35:00.000Z,zone-b,humidity,34.5
2024-01-26T16:34:00.000Z,zone-b,light,359.2
2024-01-26T17:50:00.000Z,zone-a,light,806.3
2024-01-26T21:37:00.000Z,zone-a,light,219
2024-01-26T22:06:00.000Z,zone-d,humidity,34.7
2024-01-27T00:18:00.000Z,zone-b,temperature,24.8
2024-01-27T00:37:00.000Z,zone-d,light,505.1
2024-01-27T01:09:00.000Z,zone-b,light,558.7
2024-01-27T01:55:00.000Z,zone-a,humidity,78
2024-01-27T07:07:00.000Z,zone-d,temperature,26.4
2024-01-27T10:13:00.000Z,zone-b,pressure,1011.8
2024-01-27T11:55:00.000Z,zone-b,humidity,72.2
2024-01-27T13:45:00.000Z,zone-c,pressure,1020
2024-01-27T14:12:00.000Z,zone-c,humidity,45.6
2024-01-27T14:21:00.000Z,zone-d,pressure,1007.3
2024-01-27T15:52:00.000Z,zone-a,pressure,1013.7
2024-01-27T16:14:00.000Z,zone-c,temperature,21.5
2024-01-27T16:46:00.000Z,zone-a,temperature,23.5
2024-01-27T17:36:00.000Z,zone-c,light,896.7
2024-01-27T18:40:00.000Z,zone-b,temperature,20
2024-01-27T21:27:00.000Z,zone-b,light,599.9
2024-01-27T22:03:00.000Z,zone-a,humidity,58
2024-01-27T23:40:00.000Z,zone-d,humidity,55.4
2024-01-28T04:05:00.000Z,zone-b,pressure,1007
2024-01-28T04:12:00.000Z,zone-a,temperature,25.3
2024-01-28T05:46:00.000Z,zone-d,pressure,1002.2
2024-01-28T06:55:00.000Z,zone-a,pressure,1011.8
2024-01-28T07:01:00.000Z,zone-a,light,390.8
2024-01-28T07:20:00.000Z,zone-c,temperature,19.3
2024-01-28T08:39:00.000Z,zone-c,light,879
2024-01-28T09:38:00.000Z,zone-d,light,309.5
2024-01-28T14:44:00.000Z,zone-c,pressure,990.1
2024-01-28T16:01:00.000Z,zone-d,temperature,21.9
2024-01-28T16:07:00.000Z,zone-c,humidity,56.3
2024-01-28T16:48:00.000Z,zone-b,humidity,45.1
2024-01-28T19:24:00.000Z,zone-c,pressure,1000.9
2024-01-28T19:35:00.000Z,zone-a,temperature,20.5
2024-01-28T23:14:00.000Z,zone-b,light,330.7
2024-01-29T01:38:00.000Z,zone-b,humidity,38.5
2024-01-29T02:14:00.000Z,zone-d,light,737.4
2024-01-29T03:33:00.000Z,zone-a,light,813.2
2024-01-29T04:31:00.000Z,zone-c,temperature,32.3
2024-01-29T05:57:00.000Z,zone-d,humidity,51.5
2024-01-29T06:32:00.000Z,zone-d,pressure,1003.8
2024-01-29T07:17:00.000Z,zone-c,light,379.1
2024-01-29T11:32:00.000Z,zone-a,humidity,33.6
2024-01-29T11:35:00.000Z,zone-c,humidity,46.9
2024-01-29T11:56:00.000Z,zone-a,pressure,1014.3
2024-01-29T12:23:00.000Z,zone-b,temperature,21.4
2024-01-29T15:37:00.000Z,zone-b,pressure,1013.6
2024-01-29T17:57:00.000Z,zone-d,temperature,31
2024-01-29T18:34:00.000Z,zone-b,light,170.7
2024-01-29T19:02:00.000Z,zone-b,temperature,28
2024-01-29T22:14:00.000Z,zone-c,humidity,68.2
2024-01-29T22:58:00.000Z,zone-c,pressure,1005.2
2024-01-30T01:38:00.000Z,zone-d,light,436.9
2024-01-30T02:34:00.000Z,zone-c,light,317.7
2024-01-30T03:17:00.000Z,zone-a,humidity,69
2024-01-30T04:53:00.000Z,zone-a,light,184.3
2024-01-30T06:19:00.000Z,zone-a,temperature,18.7
2024-01-30T08:38:00.000Z,zone-d,humidity,52.8
